problem_id,topic
133,Breadth-First Search
133,Graph Theory
134,Array
134,Greedy
135,Array
135,Greedy
136,Array
136,Bit Manipulation
137,Array
137,Bit Manipulation
138,Hash Table
138,Linked List
139,Array
139,Hash Table
139,String
139,Dynamic Programming
139,Trie
139,Memoization
140,Array
140,Hash Table
140,String
140,Dynamic Programming
140,Backtracking
140,Trie
140,Memoization
141,Hash Table
141,Linked List
141,Two Pointers
142,Hash Table
142,Linked List
142,Two Pointers
143,Linked List
143,Two Pointers
143,Stack
143,Recursion
144,Stack
144,Tree
144,Depth-First Search
144,Binary Tree
145,Stack
145,Tree
145,Depth-First Search
145,Binary Tree
146,Hash Table
146,Linked List
146,Design
146,Doubly-Linked List
147,Linked List
147,Sorting
148,Linked List
148,Two Pointers
148,Divide and Conquer
148,Sorting
148,Merge Sort
149,Array
149,Hash Table
149,Math
149,Geometry
150,Array
150,Math
150,Stack
151,Two Pointers
151,String
152,Array
152,Dynamic Programming
153,Array
153,Binary Search
154,Array
154,Binary Search
155,Stack
155,Design
156,Tree
156,Depth-First Search
156,Binary Tree
157,Array
157,Simulation
157,Interactive
158,Array
158,Simulation
158,Interactive
159,Hash Table
159,String
159,Sliding Window
160,Hash Table
160,Linked List
160,Two Pointers
161,Two Pointers
161,String
162,Array
162,Binary Search
163,Array
164,Array
164,Sorting
164,Bucket Sort
164,Radix Sort
165,Two Pointers
165,String
166,Hash Table
166,Math
166,String
167,Array
167,Two Pointers
167,Binary Search
168,Math
168,String
169,Array
169,Hash Table
169,Divide and Conquer
169,Sorting
169,Counting
170,Array
170,Hash Table
170,Two Pointers
170,Design
170,Data Stream
171,Math
171,String
172,Math
173,Stack
173,Tree
173,Design
173,Binary Search Tree
173,Binary Tree
173,Iterator
174,Array
174,Dynamic Programming
174,Matrix
175,Database
176,Database
177,Database
178,Database
179,Array
179,String
179,Greedy
179,Sorting
180,Database
181,Database
182,Database
183,Database
184,Database
185,Database
186,Two Pointers
186,String
187,Hash Table
187,String
187,Bit Manipulation
187,Sliding Window
187,Rolling Hash
187,Hash Function
188,Array
188,Dynamic Programming
189,Array
189,Math
189,Two Pointers
190,Divide and Conquer
190,Bit Manipulation
191,Divide and Conquer
191,Bit Manipulation
192,Shell
193,Shell
194,Shell
195,Shell
196,Database
197,Database
